time_s,ax_mss,ay_mss,az_mss,gx_rads,gy_rads,gz_rads
3.483000,0.050278,0.174777,9.847351,-0.001598,-0.001065,0.005859
3.484000,0.045490,0.169988,9.844957,-0.001598,-0.001065,0.005326
3.485000,0.040701,0.179565,9.847351,-0.001065,-0.001065,0.005326
3.487000,0.047884,0.186748,9.868899,-0.001065,-0.001065,0.004794
3.488000,0.052672,0.179565,9.864111,-0.001598,-0.001065,0.005326
3.489000,0.050278,0.169988,9.849746,-0.001065,-0.001598,0.004794
3.490000,0.045490,0.172383,9.849746,-0.000533,-0.001598,0.005859
3.492000,0.055067,0.181959,9.847351,-0.001065,-0.000533,0.005326
3.493000,0.050278,0.174777,9.840169,-0.001065,-0.000533,0.004794
3.494000,0.047884,0.174777,9.842563,-0.001065,-0.001598,0.005326
3.495000,0.045490,0.174777,9.844957,-0.001598,-0.001598,0.005326
3.497000,0.038307,0.174777,9.854534,-0.002131,-0.001065,0.005326
3.498000,0.035913,0.169988,9.852140,-0.002131,-0.001065,0.004794
3.499000,0.038307,0.169988,9.849746,-0.002131,-0.001065,0.005326
3.500000,0.043096,0.167594,9.852140,-0.002131,-0.001065,0.005326
3.502000,0.038307,0.179565,9.859322,-0.002131,-0.000533,0.005326
3.503000,0.038307,0.174777,9.852140,-0.001598,-0.000533,0.004261
3.504000,0.035913,0.165200,9.852140,-0.001065,-0.001065,0.004261
3.505000,0.038307,0.172383,9.856928,-0.001065,-0.001598,0.004794
3.507000,0.043096,0.179565,9.856928,-0.002663,-0.001065,0.005326
3.508000,0.045490,0.177171,9.849746,-0.002663,-0.000533,0.004261
3.509000,0.045490,0.179565,9.840169,-0.002131,-0.000533,0.004794
3.510000,0.040701,0.179565,9.840169,-0.002131,0.000000,0.005326
3.512000,0.043096,0.174777,9.854534,-0.002131,-0.001065,0.005326
3.513000,0.047884,0.179565,9.859322,-0.002663,-0.001065,0.004794
3.514000,0.043096,0.186748,9.856928,-0.002663,-0.001065,0.004261
3.515000,0.038307,0.181959,9.842563,-0.002131,-0.000533,0.004794
3.517000,0.045490,0.186748,9.844957,-0.001065,-0.001065,0.005326
3.518000,0.050278,0.184354,9.852140,-0.001598,-0.001065,0.005326
3.519000,0.050278,0.177171,9.854534,-0.002131,-0.001065,0.005859
3.520000,0.043096,0.172383,9.849746,-0.002131,-0.000533,0.005326
3.522000,0.033519,0.179565,9.854534,-0.001065,-0.001065,0.005326
3.523000,0.040701,0.174777,9.856928,-0.001065,-0.001598,0.004794
3.524000,0.050278,0.174777,9.856928,-0.001598,-0.002131,0.004794
3.525000,0.050278,0.179565,9.849746,-0.001065,-0.001598,0.004794
3.527000,0.055067,0.186748,9.842563,-0.000533,-0.000533,0.005326
3.528000,0.052672,0.189142,9.847351,-0.001065,-0.001598,0.005859
3.529000,0.050278,0.181959,9.847351,-0.001065,-0.001598,0.005326
3.530000,0.047884,0.179565,9.844957,-0.000533,-0.001598,0.004794
3.532000,0.047884,0.189142,9.844957,0.000000,-0.001598,0.004794
3.533000,0.045490,0.181959,9.849746,0.000533,-0.001598,0.005326
3.534000,0.047884,0.177171,9.849746,0.000533,-0.002131,0.004794
3.535000,0.052672,0.174777,9.849746,0.000000,-0.002131,0.004794
3.537000,0.043096,0.184354,9.852140,0.000533,-0.002131,0.005326
3.538000,0.043096,0.181959,9.854534,0.000533,-0.002131,0.005326
3.539000,0.043096,0.179565,9.849746,0.001065,-0.002663,0.005326
3.540000,0.047884,0.177171,9.837775,0.002131,-0.002131,0.004794
3.542000,0.045490,0.172383,9.840169,0.000000,-0.002131,0.004794
3.543000,0.040701,0.174777,9.842563,0.000533,-0.002131,0.004261
3.544000,0.050278,0.179565,9.842563,0.001065,-0.002131,0.004261
3.545000,0.050278,0.181959,9.842563,0.000533,-0.002131,0.004794
3.547000,0.050278,0.177171,9.844957,-0.000533,-0.002131,0.004794
3.548000,0.050278,0.179565,9.849746,-0.000533,-0.002131,0.004794
3.549000,0.045490,0.174777,9.856928,-0.000533,-0.001598,0.005326
3.550000,0.040701,0.174777,9.852140,0.000000,-0.001598,0.005326
3.552000,0.035913,0.174777,9.844957,-0.000533,-0.002131,0.005326
3.553000,0.035913,0.169988,9.847351,-0.000533,-0.001598,0.005326
3.554000,0.038307,0.169988,9.854534,-0.000533,-0.001598,0.005326
3.555000,0.045490,0.177171,9.854534,-0.001065,-0.002131,0.005326
3.557000,0.043096,0.169988,9.847351,-0.001598,-0.001065,0.004794
3.558000,0.040701,0.165200,9.852140,-0.001598,-0.001065,0.004794
3.559000,0.040701,0.167594,9.849746,-0.001065,-0.001065,0.005326
3.560000,0.040701,0.172383,9.840169,-0.000533,-0.001065,0.006392
3.562000,0.045490,0.167594,9.856928,-0.001598,-0.001065,0.006392
3.563000,0.045490,0.165200,9.856928,-0.001598,-0.001065,0.005326
3.564000,0.040701,0.169988,9.847351,-0.001598,-0.001065,0.004261
3.565000,0.047884,0.177171,9.847351,-0.001598,-0.001065,0.004794
3.567000,0.033519,0.177171,9.859322,-0.002131,-0.000533,0.005859
3.568000,0.033519,0.179565,9.861717,-0.002131,-0.000533,0.005859
3.569000,0.040701,0.179565,9.856928,-0.003196,-0.000533,0.005326
3.570000,0.047884,0.181959,9.854534,-0.003728,-0.000533,0.005859
3.572000,0.038307,0.189142,9.854534,-0.003196,-0.000533,0.005326
3.573000,0.045490,0.181959,9.832986,-0.003196,0.000000,0.004794
3.574000,0.050278,0.179565,9.832986,-0.003196,-0.000533,0.004794
3.575000,0.047884,0.181959,9.837775,-0.003196,-0.001065,0.005326
3.577000,0.050278,0.169988,9.835380,-0.003728,0.000000,0.004794
3.578000,0.057461,0.160412,9.840169,-0.003728,0.000000,0.005326
3.579000,0.055067,0.167594,9.842563,-0.003196,0.000000,0.005859
3.580000,0.040701,0.179565,9.842563,-0.003196,0.000000,0.005326
3.582000,0.047884,0.184354,9.859322,-0.002663,-0.000533,0.005326
3.583000,0.045490,0.186748,9.861717,-0.003196,0.000000,0.005326
3.584000,0.050278,0.181959,9.844957,-0.003196,-0.000533,0.004794
3.585000,0.057461,0.177171,9.835380,-0.002663,-0.000533,0.004794
3.587000,0.035913,0.184354,9.842563,-0.002663,0.000000,0.005326
3.588000,0.038307,0.181959,9.852140,-0.002663,0.000000,0.005859
3.589000,0.040701,0.179565,9.856928,-0.002131,0.000000,0.005326
3.590000,0.045490,0.174777,9.847351,-0.002131,0.000533,0.004261
3.592000,0.050278,0.174777,9.844957,-0.002663,-0.000533,0.004794
3.593000,0.045490,0.179565,9.844957,-0.003196,-0.000533,0.005326
3.594000,0.040701,0.181959,9.844957,-0.003196,-0.000533,0.004794
3.595000,0.040701,0.177171,9.849746,-0.002663,-0.000533,0.004794
3.597000,0.045490,0.184354,9.842563,-0.002663,-0.000533,0.005859
3.598000,0.040701,0.181959,9.842563,-0.002131,-0.000533,0.005859
3.599000,0.035913,0.177171,9.847351,-0.002663,-0.000533,0.005859
3.600000,0.040701,0.174777,9.852140,-0.003196,-0.000533,0.005859
3.602000,0.045490,0.177171,9.852140,-0.002131,-0.000533,0.005326
3.603000,0.040701,0.186748,9.854534,-0.002663,-0.001065,0.004794
3.604000,0.045490,0.186748,9.856928,-0.002663,-0.001065,0.005326
3.605000,0.043096,0.174777,9.854534,-0.002131,-0.001065,0.005859
3.607000,0.040701,0.177171,9.852140,-0.002663,-0.001065,0.005859
3.608000,0.038307,0.179565,9.849746,-0.002131,-0.001065,0.005326
3.609000,0.035913,0.181959,9.840169,-0.002131,-0.000533,0.004261
3.610000,0.043096,0.169988,9.842563,-0.002131,-0.000533,0.004261
3.612000,0.040701,0.174777,9.852140,-0.002131,-0.000533,0.004794
3.613000,0.031125,0.174777,9.854534,-0.002663,-0.001598,0.005326
3.614000,0.033519,0.174777,9.852140,-0.002131,-0.001065,0.005326
3.615000,0.040701,0.177171,9.852140,-0.001598,-0.000533,0.004794
3.617000,0.040701,0.172383,9.854534,-0.001598,-0.000533,0.005326
3.618000,0.040701,0.169988,9.849746,-0.002663,-0.000533,0.005326
3.619000,0.047884,0.169988,9.849746,-0.003196,-0.001065,0.005326
3.620000,0.055067,0.177171,9.849746,-0.002663,-0.001598,0.005326
3.622000,0.040701,0.174777,9.842563,-0.002663,-0.001598,0.004794
