t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_C
526592,0.032,-0.133,0.994,0.014,-0.117,0.345,25.21
526692,0.033,-0.135,0.987,-0.047,0.188,0.345,25.20
526792,0.033,-0.135,0.993,-0.047,-0.056,0.406,25.18
526892,0.032,-0.132,1.000,-0.047,-0.056,0.345,25.21
526992,0.034,-0.131,0.991,-0.292,-0.300,0.284,25.17
527092,0.033,-0.133,1.000,-0.047,-0.117,0.345,25.11
527192,0.032,-0.132,0.992,-0.047,-0.117,0.345,25.15
527292,0.032,-0.135,0.991,0.014,-0.117,0.284,25.15
527392,0.031,-0.133,0.999,-0.108,-0.056,0.345,25.15
527492,0.031,-0.135,0.990,-0.047,-0.056,0.284,25.15
527592,0.031,-0.133,0.999,-0.047,-0.117,0.345,25.11
527692,0.033,-0.134,0.990,-0.047,-0.056,0.345,25.17
527792,0.033,-0.133,0.991,-0.108,-0.117,0.345,25.18
527892,0.032,-0.135,0.991,-0.047,-0.056,0.406,25.21
527992,0.032,-0.135,0.999,-0.047,-0.117,0.345,25.12
528092,0.032,-0.132,0.988,-0.108,-0.117,0.345,25.12
528192,0.033,-0.136,0.989,-0.108,-0.117,0.345,25.18
528292,0.032,-0.136,0.991,-0.047,-0.056,0.345,25.18
528392,0.032,-0.132,0.992,-0.047,-0.117,0.345,25.21
528492,0.033,-0.134,0.991,-0.108,-0.117,0.345,25.14
528592,0.032,-0.134,0.991,-0.108,-0.117,0.345,25.21
528692,0.032,-0.133,0.992,-0.047,-0.117,0.345,25.24
528792,0.032,-0.134,0.991,-0.108,-0.117,0.284,25.23
528892,0.031,-0.132,1.000,-0.047,-0.117,0.345,25.15
528992,0.032,-0.135,0.992,-0.108,-0.117,0.345,25.15
529092,0.032,-0.135,0.992,-0.047,-0.056,0.345,25.18
529192,0.031,-0.135,0.991,-0.108,-0.117,0.345,25.18
529292,0.032,-0.133,0.992,-0.047,-0.056,0.345,25.18
529392,0.032,-0.135,0.992,-0.047,-0.056,0.406,25.23
529492,0.032,-0.132,1.000,-0.047,-0.056,0.345,25.15
529592,0.032,-0.133,0.991,-0.108,-0.056,0.284,25.15
529692,0.032,-0.135,0.999,-0.108,-0.056,0.345,25.12
529792,0.033,-0.135,0.991,-0.047,-0.117,0.345,25.15
529892,0.032,-0.133,0.991,-0.108,-0.117,0.284,25.20
